,channel,angle,note_midi_value,octave,note_name,prior_midi_note,prior_octave,prior_note_name,edge_count
0,0.0,0,48.0,4.0,C,55.0,4.0,C#,24
1,0.0,0,60.0,5.0,C,50.0,4.0,D,24
2,0.0,30,61.0,5.0,G,40.0,3.0,E,5
3,0.0,30,61.0,5.0,G,64.0,5.0,E,10
4,0.0,60,50.0,4.0,D,40.0,3.0,E,2
5,0.0,60,50.0,4.0,D,43.0,3.0,C#,35
6,0.0,60,50.0,4.0,D,47.0,3.0,F,2
7,0.0,60,50.0,4.0,D,57.0,4.0,D#,24
8,0.0,60,62.0,5.0,D,48.0,4.0,C,8
9,0.0,60,62.0,5.0,D,52.0,4.0,E,16
10,0.0,60,62.0,5.0,D,67.0,5.0,C#,16
11,0.0,120,40.0,3.0,E,45.0,3.0,D#,40
12,0.0,120,52.0,4.0,E,40.0,3.0,E,10
13,0.0,120,52.0,4.0,E,57.0,4.0,D#,36
14,0.0,120,52.0,4.0,E,59.0,4.0,F,33
15,0.0,120,64.0,5.0,E,40.0,3.0,E,10
16,0.0,120,64.0,5.0,E,45.0,3.0,D#,16
17,0.0,120,64.0,5.0,E,55.0,4.0,C#,16
18,0.0,120,64.0,5.0,E,68.0,5.0,G#,1
19,0.0,180,54.0,4.0,F#,59.0,4.0,F,16
20,0.0,210,43.0,3.0,C#,50.0,4.0,D,40
21,0.0,210,55.0,4.0,C#,60.0,5.0,C,24
22,0.0,210,55.0,4.0,C#,62.0,5.0,D,16
23,0.0,210,67.0,5.0,C#,52.0,4.0,E,16
24,0.0,240,68.0,5.0,G#,47.0,3.0,F,1
25,0.0,270,45.0,3.0,D#,40.0,3.0,E,5
26,0.0,270,45.0,3.0,D#,43.0,3.0,C#,5
27,0.0,270,45.0,3.0,D#,52.0,4.0,E,46
28,0.0,270,57.0,4.0,D#,40.0,3.0,E,8
29,0.0,270,57.0,4.0,D#,47.0,3.0,F,13
30,0.0,270,57.0,4.0,D#,61.0,5.0,G,15
31,0.0,270,57.0,4.0,D#,62.0,5.0,D,24
32,0.0,330,47.0,3.0,F,54.0,4.0,F#,16
33,0.0,330,59.0,4.0,F,48.0,4.0,C,16
34,0.0,330,59.0,4.0,F,64.0,5.0,E,33
35,1.0,120,52.0,4.0,E,59.0,4.0,F,16
36,1.0,120,64.0,5.0,E,52.0,4.0,E,16
37,1.0,330,59.0,4.0,F,64.0,5.0,E,16
38,2.0,90,75.0,6.0,A,66.0,5.0,F#,1
39,2.0,90,75.0,6.0,A,78.0,6.0,F#,2
40,2.0,90,75.0,6.0,A,79.0,6.0,C#,1
41,2.0,120,40.0,3.0,E,40.0,3.0,E,1
42,2.0,120,40.0,3.0,E,45.0,3.0,D#,1
43,2.0,120,76.0,6.0,E,76.0,6.0,E,3
44,2.0,210,43.0,3.0,C#,43.0,3.0,C#,7
45,2.0,210,43.0,3.0,C#,71.0,5.0,F,1
46,2.0,270,45.0,3.0,D#,43.0,3.0,C#,1
47,2.0,270,45.0,3.0,D#,45.0,3.0,D#,7
48,3.0,0,72.0,6.0,C,76.0,6.0,E,1
49,3.0,120,64.0,5.0,E,52.0,4.0,E,1
50,3.0,120,64.0,5.0,E,64.0,5.0,E,10
51,3.0,120,64.0,5.0,E,66.0,5.0,F#,3
52,3.0,120,76.0,6.0,E,75.0,6.0,A,4
53,3.0,120,76.0,6.0,E,76.0,6.0,E,7
54,3.0,120,76.0,6.0,E,78.0,6.0,F#,3
55,3.0,120,76.0,6.0,E,79.0,6.0,C#,1
56,3.0,180,66.0,5.0,F#,67.0,5.0,C#,4
57,3.0,180,78.0,6.0,F#,76.0,6.0,E,3
58,3.0,180,78.0,6.0,F#,79.0,6.0,C#,2
59,3.0,210,67.0,5.0,C#,64.0,5.0,E,4
60,3.0,210,67.0,5.0,C#,67.0,5.0,C#,4
61,3.0,210,67.0,5.0,C#,69.0,5.0,D#,4
62,3.0,210,79.0,6.0,C#,76.0,6.0,E,4
63,3.0,210,79.0,6.0,C#,79.0,6.0,C#,3
64,3.0,210,79.0,6.0,C#,81.0,6.0,D#,2
65,3.0,270,69.0,5.0,D#,67.0,5.0,C#,4
66,3.0,270,81.0,6.0,D#,79.0,6.0,C#,2
67,3.0,330,71.0,5.0,F,72.0,6.0,C,1
68,4.0,0,36.0,3.0,C,38.0,3.0,D,59
69,4.0,60,38.0,3.0,D,36.0,3.0,C,8
70,4.0,60,38.0,3.0,D,40.0,3.0,E,51
71,4.0,120,40.0,3.0,E,33.0,2.0,D#,5
72,4.0,120,40.0,3.0,E,35.0,2.0,F,46
73,4.0,120,40.0,3.0,E,40.0,3.0,E,52
74,4.0,120,40.0,3.0,E,43.0,3.0,C#,51
75,4.0,210,31.0,2.0,C#,31.0,2.0,C#,35
76,4.0,210,31.0,2.0,C#,35.0,2.0,F,5
77,4.0,210,43.0,3.0,C#,40.0,3.0,E,51
78,4.0,270,33.0,2.0,D#,31.0,2.0,C#,5
79,4.0,270,33.0,2.0,D#,33.0,2.0,D#,35
80,4.0,330,35.0,2.0,F,36.0,3.0,C,51
81,9.0,0,36.0,3.0,C,38.0,3.0,D,8
82,9.0,0,36.0,3.0,C,41.0,3.0,B,144
83,9.0,0,36.0,3.0,C,44.0,3.0,G#,48
84,9.0,0,36.0,3.0,C,57.0,4.0,D#,84
85,9.0,60,38.0,3.0,D,36.0,3.0,C,8
86,9.0,60,38.0,3.0,D,44.0,3.0,G#,48
87,9.0,60,38.0,3.0,D,57.0,4.0,D#,56
88,9.0,150,41.0,3.0,B,44.0,3.0,G#,144
89,9.0,180,42.0,3.0,F#,36.0,3.0,C,10
90,9.0,180,42.0,3.0,F#,42.0,3.0,F#,20
91,9.0,240,44.0,3.0,G#,36.0,3.0,C,193
92,9.0,240,44.0,3.0,G#,38.0,3.0,D,45
93,9.0,240,44.0,3.0,G#,40.0,3.0,E,1
94,9.0,240,44.0,3.0,G#,42.0,3.0,F#,1
95,9.0,270,57.0,4.0,D#,36.0,3.0,C,72
96,9.0,270,57.0,4.0,D#,38.0,3.0,D,59
97,9.0,270,57.0,4.0,D#,42.0,3.0,F#,9
