channel,instrument
3.0,Lead 3 (calliope)
5.0,SynthStrings 1
8.0,Pad 3 (polysynth)
1.0,Fretless Bass
3.0,Lead 3 (calliope)
9.0,Acoustic Guitar (steel)
0.0,Acoustic Grand Piano
7.0,Pad 3 (polysynth)
10.0,Acoustic Guitar (nylon)
9.0,Acoustic Guitar (steel)
6.0,Voice Oohs
11.0,Acoustic Guitar (nylon)
12.0,Acoustic Guitar (nylon)
11.0,Acoustic Guitar (nylon)
10.0,Acoustic Guitar (nylon)
12.0,Acoustic Guitar (nylon)
9.0,Acoustic Guitar (steel)
11.0,Acoustic Guitar (nylon)
10.0,Acoustic Guitar (nylon)
12.0,Acoustic Guitar (nylon)
6.0,Voice Oohs
11.0,Acoustic Guitar (nylon)
10.0,Acoustic Guitar (nylon)
12.0,Acoustic Guitar (nylon)
1.0,Fretless Bass
5.0,SynthStrings 1
7.0,Pad 3 (polysynth)
8.0,Pad 3 (polysynth)
11.0,Acoustic Guitar (nylon)
10.0,Acoustic Guitar (nylon)
12.0,Acoustic Guitar (nylon)
11.0,Acoustic Guitar (nylon)
10.0,Acoustic Guitar (nylon)
12.0,Acoustic Guitar (nylon)
11.0,Acoustic Guitar (nylon)
10.0,Acoustic Guitar (nylon)
12.0,Acoustic Guitar (nylon)
11.0,Acoustic Guitar (nylon)
10.0,Acoustic Guitar (nylon)
12.0,Acoustic Guitar (nylon)
11.0,Acoustic Guitar (nylon)
10.0,Acoustic Guitar (nylon)
12.0,Acoustic Guitar (nylon)
11.0,Acoustic Guitar (nylon)
10.0,Acoustic Guitar (nylon)
12.0,Acoustic Guitar (nylon)
11.0,Acoustic Guitar (nylon)
10.0,Acoustic Guitar (nylon)
12.0,Acoustic Guitar (nylon)
11.0,Acoustic Guitar (nylon)
10.0,Acoustic Guitar (nylon)
12.0,Acoustic Guitar (nylon)
11.0,Acoustic Guitar (nylon)
10.0,Acoustic Guitar (nylon)
12.0,Acoustic Guitar (nylon)
11.0,Acoustic Guitar (nylon)
10.0,Acoustic Guitar (nylon)
12.0,Acoustic Guitar (nylon)
11.0,Acoustic Guitar (nylon)
10.0,Acoustic Guitar (nylon)
12.0,Acoustic Guitar (nylon)
